0,1
B0153,Unidad 'LITRO' no encontrada
B0154,Unidad 'LITRO' no encontrada
Unidad 'SERVICIO' no encontrada,B0199
B0200,Unidad 'LITRO' no encontrada
B0201,Unidad 'SERVICIO' no encontrada
Unidad 'SERVICIO' no encontrada,B0211
B0212,Unidad 'LITRO' no encontrada
B0213,Unidad 'LITRO' no encontrada
Unidad 'LITRO' no encontrada,B0214
B0311,Unidad 'SERVICIO' no encontrada
Unidad 'SERVICIO' no encontrada,B0324
Unidad 'SERVICIO' no encontrada,B0325
B0326,Unidad 'SERVICIO' no encontrada
B0327,Unidad 'SERVICIO' no encontrada
Unidad 'SERVICIO' no encontrada,B0328
Unidad 'SERVICIO' no encontrada,B0329
Unidad 'SERVICIO' no encontrada,B0330
B0331,Unidad 'SERVICIO' no encontrada
B0341,Unidad 'LITRO' no encontrada
Unidad 'LITRO' no encontrada,B0342
B0343,Unidad 'LITRO' no encontrada
Unidad 'LITRO' no encontrada,B0349
B0350,Unidad 'LITRO' no encontrada
B0351,Unidad 'LITRO' no encontrada
B0352,Unidad 'LITRO' no encontrada
B0357,Unidad 'LITRO' no encontrada
B0358,Unidad 'KILO' no encontrada
B0365,Producto no encontrado
B0366,Producto no encontrado
B0367,Producto no encontrado
B0368,Producto no encontrado
Producto no encontrado,B0369
