C√≥digo;Raz√≥n,,,,,,,,,,
B0370;Unidad 'UNIDAD' no encontrada,,,,,,,,,,
B377;El nombre 'HONOR√ÅRIOS' ya existe,,,,,,,,,,
B378;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B387;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B389;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B390;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B391;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B399;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B401;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B405;El nombre 'AZULIM' ya existe,B037,,,,,,,,,B037
B416;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B417;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B419;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B420;El nombre 'LUBRIFICANTE PETRONAS 15W40' ya existe,B420,NA,BRASIL,0,0,LUBRIFICANTE PETRONAS 15W40,PIEZA,BRASIL,NO,B0211
B421;El nombre 'FILTRO DE OLEO LF14000NN' ya existe,B421,NA,BRASIL,0,0,FILTRO DE OLEO LF14000NN,PIEZA,BRASIL,NO,B0182
B427;Unidad 'SERVICIO' no encontrada,,,,,,,,,,
B434;El nombre 'BROCA A√áO RAPIDO 1/8''' ya existe,B434,NA,BRASIL,0,0,BROCA A«O RAPIDO 1/8'',PIEZA,BRASIL,NO,B0083
B435;El nombre 'BROCA A√áO RAPIDO 2,B435,NA,BRASIL,0,0,"BROCA A«O RAPIDO 2,5MM",PIEZA,BRASIL,NO,B0084
B436;El nombre 'CONTRA PINO 1/4X3''' ya existe,B436,NA,BRASIL,0,0,CONTRA PINO 1/4X3'',PIEZA,BRASIL,NO,B0139
B437;El nombre 'CONTRA PINO 1/4X3.1/2''' ya existe,B437,NA,BRASIL,0,0,CONTRA PINO 1/4X3.1/2'',PIEZA,BRASIL,NO,B0140
B438;El nombre 'CONTRA PINO 1/8X2''' ya existe,B438,NA,BRASIL,0,0,CONTRA PINO 1/8X2'',PIEZA,BRASIL,NO,B0141
B439;El nombre 'CONTRA PINO 3/16X3.1/2''' ya existe,B439,NA,BRASIL,0,0,CONTRA PINO 3/16X3.1/2'',PIEZA,BRASIL,NO,B0142
B440;El nombre 'MANILHA CURVA 5/16''' ya existe,B440,NA,BRASIL,0,0,MANILHA CURVA 5/16'',PIEZA,BRASIL,NO,B0233
B441;El nombre 'MANILHA CURVA 5/8''' ya existe,B441,NA,BRASIL,0,0,MANILHA CURVA 5/8'',PIEZA,BRASIL,NO,B0234
